Importance	Ngram	Frequency in Race Columns	Frequency in Nonrace Columns
	#02	0.0	0.00019047619047619048
	#10	0.0	0.00028571428571428574
	#11	0.0	0.00019047619047619048
	#13	0.0	0.00028571428571428574
	#14	0.0	0.00038095238095238096
	#17	0.0	0.00019047619047619048
	#19	0.0	0.00028571428571428574
	#1_	0.0	0.003904761904761905
	#2)	0.0	0.00028571428571428574
	#20	0.0	0.00019047619047619048
	#2_	0.0	0.004
	#3_	0.0	0.0020952380952380953
	#4_	0.0	0.0006666666666666666
	#5_	0.0	0.0007619047619047619
	#6_	0.0	0.00019047619047619048
	#74	0.0	0.00019047619047619048
	#88	0.0	0.00019047619047619048
	#89	0.0	0.00019047619047619048
	#8_	0.0	0.00019047619047619048
	#9_	0.0	0.00028571428571428574
	#a2	0.0	0.00019047619047619048
	%)_	0.0	0.00028571428571428574
	%_c	0.0	0.00019047619047619048
	%_d	0.0	0.00019047619047619048
	%_e	0.0	0.00019047619047619048
	%_f	0.0	0.0004761904761904762
	%_h	0.0	0.00028571428571428574
	%_o	0.0	0.00028571428571428574
	%fb	0.0	0.00028571428571428574
	&am	0.0	0.0007619047619047619
	&gt	0.0	0.0008571428571428571
	&lt	0.0	0.0013333333333333333
	's_	0.0	0.002380952380952381
	(&g	0.0	0.00019047619047619048
	(+)	0.0	0.0007619047619047619
	(-)	0.0	0.0013333333333333333
	(1%	0.0	0.00028571428571428574
	(10	0.0	0.0015238095238095239
	(11	0.0	0.00019047619047619048
	(13	0.0	0.00019047619047619048
	(14	0.0	0.00038095238095238096
	(15	0.0	0.00019047619047619048
	(16	0.0	0.00028571428571428574
	(18	0.0	0.00019047619047619048
	(19	0.0	0.00019047619047619048
	(1_	0.0	0.00038095238095238096
	(1h	0.0	0.00019047619047619048
	(2)	0.0	0.0004761904761904762
	(20	0.0	0.00038095238095238096
	(21	0.0	0.00028571428571428574
	(24	0.0	0.00028571428571428574
	(25	0.0	0.00028571428571428574
	(2_	0.0	0.00028571428571428574
	(3%	0.0	0.00019047619047619048
	(30	0.0	0.0005714285714285715
	(31	0.0	0.00038095238095238096
	(32	0.0	0.00028571428571428574
	(36	0.0	0.00019047619047619048
	(39	0.0	0.00028571428571428574
	(45	0.0	0.00019047619047619048
	(48	0.0	0.00038095238095238096
	(50	0.0	0.0006666666666666666
	(59	0.0	0.00028571428571428574
	(6%	0.0	0.00019047619047619048
	(60	0.0	0.00028571428571428574
	(66	0.0	0.00019047619047619048
	(79	0.0	0.00019047619047619048
	(82	0.0	0.00019047619047619048
	(ab	0.0	0.0006666666666666666
	(ac	0.0	0.00028571428571428574
	(ad	0.0	0.00028571428571428574
	(am	0.0	0.0007619047619047619
	(ap	0.0	0.00019047619047619048
	(ar	0.0	0.00019047619047619048
	(as	0.0	0.00028571428571428574
	(at	0.0	0.0013333333333333333
	(b)	0.0	0.00019047619047619048
	(ba	0.0	0.00019047619047619048
	(be	0.0	0.00038095238095238096
	(bi	0.0	0.00019047619047619048
	(bl	0.0	0.00028571428571428574
	(bm	0.0	0.00019047619047619048
	(br	0.0	0.00028571428571428574
	(c5	0.0	0.00019047619047619048
	(ca	0.0	0.00028571428571428574
	(cc	0.0	0.00019047619047619048
	(cd	0.0	0.0004761904761904762
	(ce	0.0	0.00019047619047619048
	(ch	0.0	0.00019047619047619048
	(cl	0.0	0.0007619047619047619
	(co	0.0	0.0016190476190476191
	(cr	0.0	0.00038095238095238096
	(cs	0.0	0.0004761904761904762
	(ct	0.0	0.00028571428571428574
	(d0	0.0	0.00028571428571428574
	(d1	0.0	0.00028571428571428574
	(d2	0.0	0.00019047619047619048
	(d3	0.0	0.00019047619047619048
	(d4	0.0	0.00038095238095238096
	(d6	0.0	0.00028571428571428574
	(de	0.0	0.00028571428571428574
	(di	0.0	0.00019047619047619048
	(dm	0.0	0.00028571428571428574
	(do	0.0	0.00028571428571428574
	(dt	0.0	0.00019047619047619048
	(du	0.0	0.00019047619047619048
	(ec	0.0	0.00028571428571428574
	(em	0.0	0.00028571428571428574
	(er	0.0	0.00019047619047619048
	(es	0.0	0.00038095238095238096
	(f)	0.0	0.00019047619047619048
	(ff	0.0	0.00028571428571428574
	(fi	0.0	0.00038095238095238096
	(fo	0.0	0.00028571428571428574
	(g2	0.0	0.00019047619047619048
	(g3	0.0	0.00019047619047619048
	(gl	0.0	0.00019047619047619048
	(gr	0.0	0.00028571428571428574
	(h1	0.0	0.0004761904761904762
	(ha	0.0	0.00038095238095238096
	(hc	0.0	0.0004761904761904762
	(he	0.0	0.0008571428571428571
	(hf	0.0	0.0006666666666666666
	(hg	0.0	0.00019047619047619048
	(hi	0.0	0.0004761904761904762
	(hm	0.0	0.00019047619047619048
	(hn	0.0	0.00019047619047619048
	(ho	0.0	0.00019047619047619048
	(hp	0.0	0.0005714285714285715
	(ht	0.0	0.00028571428571428574
	(hu	0.0	0.0008571428571428571
	(ic	0.0	0.00038095238095238096
	(id	0.0	0.00019047619047619048
	(il	0.0	0.00028571428571428574
	(im	0.0	0.00038095238095238096
	(in	0.0	0.0004761904761904762
	(ip	0.0	0.0007619047619047619
	(is	0.0	0.00019047619047619048
	(kd	0.0	0.00019047619047619048
	(la	0.0	0.00028571428571428574
	(le	0.0	0.00028571428571428574
	(li	0.0	0.00028571428571428574
	(lo	0.0	0.00019047619047619048
	(ls	0.0	0.00019047619047619048
	(lu	0.0	0.00028571428571428574
	(m-	0.0	0.00019047619047619048
	(ma	0.0	0.00038095238095238096
	(mc	0.0	0.00028571428571428574
	(me	0.0	0.00038095238095238096
	(mi	0.0	0.001142857142857143
	(mo	0.0	0.00019047619047619048
	(mr	0.0	0.00019047619047619048
	(ms	0.0	0.0004761904761904762
	(mu	0.0	0.00028571428571428574
	(my	0.0	0.00028571428571428574
	(n_	0.0	0.00019047619047619048
	(na	0.0	0.00019047619047619048
	(nc	0.0	0.00028571428571428574
	(ne	0.0	0.0006666666666666666
	(nk	0.0	0.00019047619047619048
	(nl	0.0	0.00019047619047619048
	(no	0.0	0.0015238095238095239
	(np	0.0	0.00019047619047619048
	(ns	0.0	0.00038095238095238096
	(ol	0.0	0.00019047619047619048
	(on	0.0	0.00028571428571428574
	(or	0.0	0.00019047619047619048
	(os	0.0	0.00028571428571428574
	(p3	0.0	0.00019047619047619048
	(p5	0.0	0.00019047619047619048
	(pa	0.0	0.0007619047619047619
	(pb	0.0	0.0007619047619047619
	(pc	0.0	0.00019047619047619048
	(pd	0.0	0.00028571428571428574
	(pe	0.0	0.00028571428571428574
	(pl	0.0	0.00019047619047619048
	(po	0.0	0.0004761904761904762
	(pr	0.0	0.0010476190476190477
	(ps	0.0	0.00038095238095238096
	(pt	0.0	0.00019047619047619048
	(qi	0.0	0.00019047619047619048
	(ra	0.0	0.00038095238095238096
	(re	0.0	0.0006666666666666666
	(rn	0.0	0.0004761904761904762
	(rr	0.0	0.00019047619047619048
	(s)	0.0	0.00019047619047619048
	(s1	0.0	0.00019047619047619048
	(s2	0.0	0.00038095238095238096
	(s3	0.0	0.00019047619047619048
	(s9	0.0	0.00019047619047619048
	(sa	0.0	0.0008571428571428571
	(sc	0.0	0.0005714285714285715
	(se	0.0	0.0004761904761904762
	(sh	0.0	0.0007619047619047619
	(si	0.0	0.0010476190476190477
	(sl	0.0	0.00019047619047619048
	(sm	0.0	0.00028571428571428574
	(sp	0.0	0.00019047619047619048
	(st	0.0	0.00038095238095238096
	(su	0.0	0.00019047619047619048
	(t_	0.0	0.00019047619047619048
	(ta	0.0	0.00038095238095238096
	(th	0.0	0.00028571428571428574
	(ti	0.0	0.0004761904761904762
	(tn	0.0	9.523809523809524e-05
	(ts	0.0	0.00019047619047619048
	(tu	0.0	0.00028571428571428574
	(uc	0.0	0.00019047619047619048
	(un	0.0	0.00038095238095238096
	(us	0.0	0.00019047619047619048
	(ve	0.0	0.00038095238095238096
	(vi	0.0	0.00028571428571428574
	(wa	0.0	0.00028571428571428574
	(wi	0.0	0.00028571428571428574
	(wt	0.0	0.0008571428571428571
	(ys	0.0	0.00019047619047619048
	))_	0.0	0.00019047619047619048
	)-c	0.0	0.00019047619047619048
	)-f	0.0	0.00038095238095238096
	)_(	0.0	0.00038095238095238096
	)_+	0.0	0.00019047619047619048
	)_1	0.0	0.00038095238095238096
	)_2	0.0	0.0006666666666666666
	)_3	0.0	0.00038095238095238096
	)_4	0.0	0.00019047619047619048
	)_5	0.0	0.00028571428571428574
	)_a	0.0	0.001142857142857143
	)_b	0.0	0.00028571428571428574
	)_c	0.0	0.003142857142857143
	)_d	0.0	0.0007619047619047619
	)_e	0.0	0.0006666666666666666
	)_f	0.0	0.001142857142857143
	)_h	0.0	0.001142857142857143
	)_i	0.0	0.00038095238095238096
	)_l	0.0	0.0005714285714285715
	)_m	0.0	0.0005714285714285715
	)_n	0.0	0.0005714285714285715
	)_o	0.0	0.00028571428571428574
	)_p	0.0	0.0008571428571428571
	)_r	0.0	0.0010476190476190477
	)_s	0.0	0.0008571428571428571
	)_t	0.0	0.0005714285714285715
	)_u	0.0	0.00028571428571428574
	+)_	0.0	0.0010476190476190477
	++_	0.0	0.00019047619047619048
	+/+	0.0	0.0015238095238095239
	+/-	0.0	0.0005714285714285715
	+2d	0.0	0.00019047619047619048
	+3_	0.0	0.00028571428571428574
	+4d	0.0	0.00019047619047619048
	+6h	0.0	0.00019047619047619048
	+7_	0.0	0.00028571428571428574
	+_1	0.0	0.0005714285714285715
	+_2	0.0	0.0004761904761904762
	+_4	0.0	0.00019047619047619048
	+_5	0.0	0.00019047619047619048
	+_6	0.0	0.00019047619047619048
	+_a	0.0	0.0008571428571428571
	+_b	0.0	0.001142857142857143
	+_c	0.0	0.005333333333333333
	+_d	0.0	0.0020952380952380953
	+_e	0.0	0.0004761904761904762
	+_f	0.0	0.0004761904761904762
	+_g	0.0	0.0006666666666666666
	+_h	0.0	0.001238095238095238
	+_i	0.0	0.0008571428571428571
	+_k	0.0	0.0005714285714285715
	+_l	0.0	0.0007619047619047619
	+_m	0.0	0.0017142857142857142
	+_n	0.0	0.0006666666666666666
	+_o	0.0	0.00028571428571428574
	+_p	0.0	0.0015238095238095239
	+_r	0.0	0.0017142857142857142
	+_s	0.0	0.0017142857142857142
	+_t	0.0	0.0054285714285714284
	+_v	0.0	0.00019047619047619048
	+_w	0.0	0.00028571428571428574
	+a-	0.0	0.00019047619047619048
	+af	0.0	0.00028571428571428574
	+cd	0.0	0.0021904761904761906
	+ce	0.0	0.0006666666666666666
	+cl	0.0	0.00038095238095238096
	+co	0.0	0.00019047619047619048
	+dc	0.0	0.00028571428571428574
	+de	0.0	0.00019047619047619048
	+dh	0.0	0.00028571428571428574
	+do	0.0	0.00028571428571428574
	+ev	0.0	0.00028571428571428574
	+gf	0.0	0.00038095238095238096
	+hb	0.0	0.00019047619047619048
	+ho	0.0	0.00019047619047619048
	+hu	0.0	0.00019047619047619048
	+kl	0.0	0.00019047619047619048
	+lo	0.0	0.00019047619047619048
	+me	0.0	0.00019047619047619048
	+nk	0.0	0.00019047619047619048
	+no	0.0	0.00028571428571428574
	+ol	0.0	0.00019047619047619048
	+pa	0.0	0.00019047619047619048
	+pe	0.0	0.00019047619047619048
	+pr	0.0	0.00019047619047619048
	+pu	0.0	0.00019047619047619048
	+qk	0.0	0.00019047619047619048
	+ru	0.0	0.00019047619047619048
	+rv	0.0	0.00019047619047619048
	+sa	0.0	0.00019047619047619048
	+sg	0.0	0.00038095238095238096
	+sh	0.0	0.00028571428571428574
	+ta	0.0	0.00019047619047619048
	+tg	0.0	0.00038095238095238096
	+tn	0.0	0.00019047619047619048
	+zn	0.0	0.00019047619047619048
	-(2	0.0	0.00019047619047619048
	-)_	0.0	0.0015238095238095239
	--_	0.020833333333333332	0.0007619047619047619
	-/+	0.0	0.00019047619047619048
	-/-	0.0	0.0032380952380952383
	-00	0.0	0.002
	-01	0.0	0.0037142857142857142
	-02	0.0	0.0019047619047619048
	-03	0.0	0.004571428571428572
	-04	0.0	0.0025714285714285713
	-05	0.0	0.0019047619047619048
	-06	0.0	0.0017142857142857142
	-07	0.0	0.0021904761904761906
	-08	0.0	0.004285714285714286
	-09	0.0	0.002380952380952381
	-0_	0.0	0.00038095238095238096
	-0h	0.0	0.0004761904761904762
	-1(	0.0	0.00019047619047619048
	-1)	0.0	0.0004761904761904762
	-1-	0.0	0.002857142857142857
	-10	0.0	0.0064761904761904765
	-11	0.0	0.005619047619047619
	-12	0.0	0.006190476190476191
	-13	0.0	0.004095238095238095
	-14	0.0	0.004857142857142857
	-15	0.0	0.004761904761904762
	-16	0.0	0.004285714285714286
	-17	0.0	0.0035238095238095237
	-18	0.0	0.003904761904761905
	-19	0.0	0.004
	-1]	0.0	0.00028571428571428574
	-1_	0.0	0.02438095238095238
	-1a	0.0	0.0005714285714285715
	-1b	0.0	0.00038095238095238096
	-1n	0.0	0.00019047619047619048
	-1p	0.0	0.00019047619047619048
	-1β	0.0	0.00019047619047619048
	-2(	0.0	0.00019047619047619048
	-2)	0.0	0.0005714285714285715
	-2-	0.0	0.001238095238095238
	-20	0.0	0.004380952380952381
	-21	0.0	0.0034285714285714284
	-22	0.0	0.0030476190476190477
	-23	0.0	0.008095238095238095
	-24	0.0	0.003142857142857143
	-25	0.0	0.003142857142857143
	-26	0.0	0.002
	-27	0.0	0.002285714285714286
	-28	0.0	0.002476190476190476
	-29	0.0	0.0033333333333333335
	-2]	0.0	0.00028571428571428574
	-2_	0.0	0.023142857142857142
	-2a	0.0	0.00028571428571428574
	-2b	0.0	0.0013333333333333333
	-2d	0.0	0.00019047619047619048
	-2g	0.0	0.00019047619047619048
	-2h	0.0	0.00028571428571428574
	-3)	0.0	0.0004761904761904762
	-3-	0.0	0.0013333333333333333
	-30	0.0	0.0030476190476190477
	-31	0.0	0.0015238095238095239
	-32	0.0	0.0017142857142857142
	-33	0.0	0.002476190476190476
	-34	0.0	0.002285714285714286
	-35	0.0	0.0015238095238095239
	-36	0.0	0.0015238095238095239
	-37	0.0	0.0013333333333333333
	-38	0.0	0.0014285714285714286
	-39	0.0	0.0008571428571428571
	-3]	0.0	0.00028571428571428574
	-3_	0.0	0.014857142857142857
	-3a	0.0	0.00028571428571428574
	-3d	0.0	0.00038095238095238096
	-3h	0.0	0.00038095238095238096
	-3p	0.0	0.0007619047619047619
	-3t	0.0	0.00019047619047619048
	-4-	0.0	0.0006666666666666666
	-4/	0.0	0.00019047619047619048
	-40	0.0	0.002476190476190476
	-41	0.0	0.0010476190476190477
	-42	0.0	0.0013333333333333333
	-43	0.0	0.0015238095238095239
	-44	0.0	0.0007619047619047619
	-45	0.0	0.001142857142857143
	-46	0.0	0.0010476190476190477
	-47	0.0	0.0010476190476190477
	-48	0.0	0.001142857142857143
	-49	0.0	0.0007619047619047619
	-4_	0.0	0.005904761904761905
	-5-	0.0	0.0007619047619047619
	-50	0.0	0.002285714285714286
	-51	0.0	0.001238095238095238
	-52	0.0	0.0010476190476190477
	-53	0.0	0.0008571428571428571
	-54	0.0	0.0009523809523809524
	-55	0.0	0.0008571428571428571
	-56	0.0	0.0010476190476190477
	-57	0.0	0.0007619047619047619
	-58	0.0	0.001142857142857143
	-59	0.0	0.0007619047619047619
	-5_	0.0	0.004095238095238095
	-5p	0.0	0.0007619047619047619
	-6-	0.0	0.0005714285714285715
	-60	0.0	0.001238095238095238
	-61	0.0	0.0007619047619047619
	-62	0.0	0.0007619047619047619
	-63	0.0	0.0008571428571428571
	-64	0.0	0.001238095238095238
	-65	0.0	0.0008571428571428571
	-66	0.0	0.0005714285714285715
	-67	0.0	0.0007619047619047619
	-68	0.0	0.0008571428571428571
	-69	0.0	0.0010476190476190477
	-6_	0.0	0.0030476190476190477
	-6h	0.0	0.0004761904761904762
	-7-	0.0	0.00028571428571428574
	-70	0.0	0.001142857142857143
	-71	0.0	0.0013333333333333333
	-72	0.0	0.0010476190476190477
	-73	0.0	0.0005714285714285715
	-74	0.0	0.00028571428571428574
	-75	0.0	0.0007619047619047619
	-76	0.0	0.0006666666666666666
	-77	0.0	0.001142857142857143
	-78	0.0	0.0008571428571428571
	-79	0.0	0.0005714285714285715
	-7_	0.0	0.004952380952380952
	-7b	0.0	0.00019047619047619048
	-7c	0.0	0.00019047619047619048
	-8-	0.0	0.00038095238095238096
	-80	0.0	0.0015238095238095239
	-81	0.0	0.0009523809523809524
	-82	0.0	0.0004761904761904762
	-83	0.0	0.0008571428571428571
	-84	0.0	0.0008571428571428571
	-85	0.0	0.0008571428571428571
	-86	0.0	0.0007619047619047619
	-87	0.0	0.0009523809523809524
	-88	0.0	0.0007619047619047619
	-89	0.0	0.0006666666666666666
	-8_	0.0	0.0020952380952380953
	-8h	0.0	0.00019047619047619048
	-9-	0.0	0.00038095238095238096
	-90	0.0	0.0008571428571428571
	-91	0.0	0.001142857142857143
	-92	0.0	0.0006666666666666666
	-93	0.0	0.0007619047619047619
	-94	0.0	0.0004761904761904762
	-95	0.0	0.0007619047619047619
	-96	0.0	0.0007619047619047619
	-97	0.0	0.0004761904761904762
	-98	0.0	0.0004761904761904762
	-99	0.0	0.0004761904761904762
	-9_	0.0	0.0029523809523809524
	-9h	0.0	0.00019047619047619048
	-9s	0.0	0.00019047619047619048
	-_1	0.0	0.0006666666666666666
	-_2	0.0	0.00038095238095238096
	-_3	0.0	0.0004761904761904762
	-_4	0.0	0.00019047619047619048
	-_5	0.0	0.00028571428571428574
	-_6	0.0	0.00028571428571428574
	-_8	0.0	0.00019047619047619048
	-_9	0.0	0.00019047619047619048
