Importance	Ngram	Frequency in Sex Columns	Frequency in Non Sex Columns
1	ex_	0.9409448818897638	0.008325266214908035
2	fem	0.7598425196850394	0.0007744433688286545
3	ale	1.0	0.0018393030009680542
4	mal	1.0	0.034075508228460796
5	ema	0.7598425196850394	0.0035818005808325266
6	sex	0.9409448818897638	0.001452081316553727
7	le_	1.0	0.23320425943852854
8	itl	0.015748031496062992	0.18257502420135527
9	tit	0.015748031496062992	0.18547918683446274
10	tle	0.015748031496062992	0.18334946757018394
11	al_	0.01968503937007874	0.13320425943852857
12	ype	0.0	0.15304937076476283
13	cel	0.007874015748031496	0.282865440464666
14	ll_	0.007874015748031496	0.22894482090997095
15	ell	0.007874015748031496	0.2861568247821878
16	our	0.003937007874015748	0.18160696999031944
17	nam	0.003937007874015748	0.17512100677637948
18	typ	0.0	0.15275895450145208
19	sue	0.003937007874015748	0.08393030009680542
20	pe_	0.0	0.15363020329138433
21	cab	0.007874015748031496	0.007163601161665053
22	ce_	0.003937007874015748	0.18054211035818005
23	age	0.007874015748031496	0.04975798644724105
24	on_	0.003937007874015748	0.0850919651500484
25	e_a	0.03543307086614173	0.007938044530493708
26	ssu	0.003937007874015748	0.08393030009680542
27	ne_	0.003937007874015748	0.14617618586640851
28	me_	0.003937007874015748	0.19051306873184898
29	pli	0.011811023622047244	0.022458857696030978
30	iss	0.011811023622047244	0.0856727976766699
31	tis	0.003937007874015748	0.08809293320425944
32	not	0.027559055118110236	0.04704743465634075
33	rea	0.007874015748031496	0.09622458857696031
34	nor	0.007874015748031496	0.0345595353339787
35	lic	0.007874015748031496	0.03310745401742497
36	lin	0.003937007874015748	0.1275895450145208
37	ine	0.011811023622047244	0.13310745401742496
38	t_a	0.007874015748031496	0.012681510164569216
39	ot_	0.027559055118110236	0.01074540174249758
40	ue_	0.003937007874015748	0.08431752178121975
41	rna	0.011811023622047244	0.05217812197483059
42	ppl	0.011811023622047244	0.007454017424975799
43	ls_	0.003937007874015748	0.0984511132623427
44	ion	0.003937007874015748	0.07173281703775411
45	se_	0.007874015748031496	0.03949661181026137
46	te_	0.015748031496062992	0.057115198451113264
47	e_n	0.003937007874015748	0.1740561471442401
48	sou	0.003937007874015748	0.172216844143272
49	rma	0.003937007874015748	0.02265246853823814
50	nde	0.01968503937007874	0.0028073572120038723
51	xed	0.011811023622047244	0.0026137463697967086
52	ool	0.01968503937007874	0.0031945788964181992
53	l_l	0.007874015748031496	0.12149080348499516
54	es_	0.0	0.045982575024201354
55	app	0.007874015748031496	0.007938044530493708
56	ica	0.007874015748031496	0.03862536302032914
57	poo	0.01968503937007874	0.003291384317521781
58	tal	0.011811023622047244	0.033591481122942884
59	urc	0.003937007874015748	0.17260406582768634
60	ste	0.011811023622047244	0.025459825750242013
61	d_m	0.027559055118110236	0.013262342691190707
62	abl	0.007874015748031496	0.00861568247821878
63	nt_	0.003937007874015748	0.11723136495643756
64	sea	0.003937007874015748	0.02362052274927396
65	l_t	0.0	0.1059051306873185
66	end	0.01968503937007874	0.01732817037754114
67	rol	0.003937007874015748	0.07028073572120039
68	hum	0.011811023622047244	0.05363020329138432
69	rai	0.007874015748031496	0.01442400774443369
70	ate	0.011811023622047244	0.09167473378509197
71	and	0.027559055118110236	0.018005808325266215
72	ive	0.003937007874015748	0.05750242013552759
73	lls	0.0	0.09438528557599225
74	ed_	0.051181102362204724	0.11819941916747338
75	tio	0.003937007874015748	0.057308809293320426
76	tex	0.0	0.0034849951597289448
77	ont	0.003937007874015748	0.07637947725072604
78	ic_	0.011811023622047244	0.058857696030977735
79	)"_	0.003937007874015748	0.0
80	der	0.023622047244094488	0.04501452081316554
81	led	0.01968503937007874	0.004065827686350436
82	d_f	0.03937007874015748	0.010551790900290417
83	mpl	0.003937007874015748	0.029719264278799614
84	lec	0.011811023622047244	0.008228460793804453
85	p2_	0.0	0.03262342691190707
86	ple	0.003937007874015748	0.03756050338818974
87	p1_	0.0	0.03475314617618586
88	erm	0.011811023622047244	0.010067763794772507
89	con	0.007874015748031496	0.08228460793804453
90	dul	0.003937007874015748	0.007550822846079381
91	ntr	0.003937007874015748	0.08199419167473379
92	gen	0.01968503937007874	0.05508228460793804
93	ter	0.015748031496062992	0.03649564375605034
94	amp	0.003937007874015748	0.029912875121006776
95	19_	0.003937007874015748	0.030977734753146177
96	tro	0.003937007874015748	0.08063891577928364
97	ble	0.007874015748031496	0.013552758954501452
98	ent	0.007874015748031496	0.12671829622458858
99	ge_	0.007874015748031496	0.04249757986447241
100	sub	0.007874015748031496	0.015101645692158761
101	ma_	0.003937007874015748	0.047531461761858664
102	in_	0.015748031496062992	0.050726040658276864
103	tme	0.0	0.0643756050338819
104	l_p	0.0	0.021393998063891577
105	oty	0.0	0.03736689254598258
106	ary	0.007874015748031496	0.028363988383349466
107	ole	0.01968503937007874	0.011229428848015489
108	tre	0.0	0.07918683446272991
109	cer	0.003937007874015748	0.03736689254598258
110	11_	0.007874015748031496	0.03920619554695063
111	pre	0.003937007874015748	0.02681510164569216
112	na_	0.01968503937007874	0.043175217812197485
113	e_9	0.003937007874015748	0.0016456921587608905
114	mat	0.003937007874015748	0.01936108422071636
115	loo	0.0	0.027105517909002903
116	cti	0.0	0.02362052274927396
117	cul	0.0	0.02584704743465634
118	t_c	0.015748031496062992	0.027105517909002903
119	ad1	0.0	0.0005808325266214908
120	15_	0.003937007874015748	0.03155856727976767
121	nkn	0.007874015748031496	0.000968054211035818
122	ame	0.003937007874015748	0.17938044530493708
123	an_	0.011811023622047244	0.06466602129719265
124	nd_	0.031496062992125984	0.02265246853823814
