Importance	Ngram	Frequency in Tumor Stage Columns	Frequency in Non Tumor Stage Columns
1	tag	0.9615384615384616	0.009382107657316148
2	age	0.9615384615384616	0.04643669446550417
3	iii	0.2692307692307692	0.0017058377558756635
4	iia	0.11538461538461539	0.0
5	sta	0.9615384615384616	0.04075056861258529
6	ge_	0.9615384615384616	0.039329037149355574
7	iib	0.15384615384615385	9.476876421531463e-05
8	ia_	0.19230769230769232	0.01677407126611069
9	e_i	0.3076923076923077	0.008244882486732373
10	/a_	0.15384615384615385	0.003411675511751327
11	n/a	0.15384615384615385	0.003316906747536012
12	iv_	0.15384615384615385	0.0029378316906747536
13	ib_	0.11538461538461539	0.005401819560272934
14	n3m	0.15384615384615385	0.0
15	t3n	0.2692307692307692	0.0
16	ii_	0.15384615384615385	0.0035064442759666415
17	0m0	0.23076923076923078	0.0
18	r_s	0.3076923076923077	0.008813495072024261
19	n0m	0.23076923076923078	0.0
20	t4n	0.23076923076923078	0.0
21	2n0	0.19230769230769232	0.0
22	t2a	0.11538461538461539	0.00018953752843062926
23	m0_	0.2692307692307692	0.0003790750568612585
24	n0_	0.07692307692307693	9.476876421531463e-05
25	3m0	0.11538461538461539	0.0
26	or_	0.34615384615384615	0.06084154662623199
27	umo	0.34615384615384615	0.022839272175890827
28	t1c	0.07692307692307693	9.476876421531463e-05
29	e_s	0.23076923076923078	0.018479909021986353
30	tum	0.34615384615384615	0.023218347232752085
31	4bn	0.11538461538461539	0.0
32	3n0	0.19230769230769232	0.0
33	1b_	0.038461538461538464	0.002558756633813495
34	e_3	0.038461538461538464	0.010993176648976498
35	iic	0.07692307692307693	0.0
36	n2_	0.038461538461538464	0.003411675511751327
37	2m0	0.23076923076923078	0.0
38	rad	0.07692307692307693	0.004264594389689159
39	gra	0.07692307692307693	0.012793783169067475
40	mor	0.3076923076923077	0.02880970432145565
41	se_	0.2692307692307692	0.0381918119787718
42	i_(	0.038461538461538464	0.00018953752843062926
43	ic3	0.038461538461538464	9.476876421531463e-05
44	mou	0.038461538461538464	0.008813495072024261
45	ade	0.07692307692307693	0.011182714177407127
46	cog	0.038461538461538464	9.476876421531463e-05
47	a_g	0.038461538461538464	0.0011372251705837756
48	tnm	0.07692307692307693	0.0
49	gli	0.07692307692307693	0.007012888551933283
50	ise	0.23076923076923078	0.022649734647460198
51	t1(	0.038461538461538464	0.0
52	3-4	0.038461538461538464	0.0008529188779378317
53	ma_	0.07692307692307693	0.04643669446550417
54	sea	0.23076923076923078	0.022649734647460198
55	c1_	0.038461538461538464	0.009382107657316148
56	1m1	0.11538461538461539	0.0
57	ase	0.23076923076923078	0.03411675511751327
58	?_c	0.038461538461538464	0.0
59	dis	0.23076923076923078	0.024829416224412433
60	bn2	0.07692307692307693	0.0
61	ic1	0.038461538461538464	9.476876421531463e-05
62	evi	0.038461538461538464	0.00047384382107657316
63	1m0	0.15384615384615385	0.0
64	-4_	0.038461538461538464	0.005780894617134193
65	eas	0.23076923076923078	0.037338893100833964
66	(tn	0.038461538461538464	9.476876421531463e-05
67	v_g	0.038461538461538464	0.00047384382107657316
68	t2n	0.19230769230769232	0.0
69	ic_	0.11538461538461539	0.05752463987869598
70	t_s	0.038461538461538464	0.01611068991660349
71	e_0	0.038461538461538464	0.001042456406368461
72	g3)	0.038461538461538464	0.00018953752843062926
73	1(#	0.038461538461538464	0.0
74	)n0	0.038461538461538464	0.0
75	3)n	0.038461538461538464	0.0
76	ce_	0.07692307692307693	0.17664897649734648
77	de_	0.07692307692307693	0.008718726307808946
78	r_i	0.038461538461538464	0.003411675511751327
79	sto	0.038461538461538464	0.011182714177407127
80	ur_	0.038461538461538464	0.0031273692191053828
81	4n0	0.11538461538461539	0.0
82	nan	0.0	0.003411675511751327
83	ted	0.0	0.05752463987869598
84	t1b	0.038461538461538464	0.0
85	1(g	0.038461538461538464	0.0
86	n1m	0.15384615384615385	9.476876421531463e-05
87	t3b	0.07692307692307693	0.0
88	c3_	0.038461538461538464	0.009571645185746777
89	sue	0.0	0.08216451857467778
90	gin	0.038461538461538464	0.004643669446550417
91	2an	0.07692307692307693	0.0
92	1c_	0.038461538461538464	0.0018953752843062926
93	ne_	0.038461538461538464	0.1431008339651251
94	(#1	0.038461538461538464	0.0
95	n2m	0.23076923076923078	0.0
96	nap	0.038461538461538464	0.0008529188779378317
97	0n0	0.07692307692307693	0.0
98	b??	0.038461538461538464	0.0
99	bla	0.038461538461538464	0.030989385898407884
100	2a_	0.07692307692307693	0.0038855193328279
101	es_	0.0	0.04501516300227445
102	t4b	0.11538461538461539	0.0
103	us_	0.0	0.03146322971948446
104	t4_	0.038461538461538464	0.0027482941622441245
105	egn	0.0	0.0005686125852918878
106	g)_	0.038461538461538464	0.0006633813495072025
107	4n3	0.07692307692307693	9.476876421531463e-05
108	i_o	0.038461538461538464	0.0002843062926459439
109	3m1	0.038461538461538464	9.476876421531463e-05
110	le_	0.07692307692307693	0.2519901440485216
111	of_	0.038461538461538464	0.016394996209249432
112	e_n	0.0	0.1703942380591357
113	ent	0.0	0.12414708112206217
114	t2b	0.07692307692307693	0.0
115	lop	0.0	0.0023692191053828657
116	ut_	0.038461538461538464	0.011372251705837756
117	dif	0.038461538461538464	0.01061410159211524
118	t1n	0.07692307692307693	9.476876421531463e-05
119	eve	0.0	0.006539044730856709
120	tle	0.0	0.17977634571645185
121	an1	0.07692307692307693	0.00018953752843062926
122	lio	0.07692307692307693	0.005401819560272934
123	3mo	0.038461538461538464	0.0
124	0mx	0.038461538461538464	0.0
125	ssu	0.0	0.08216451857467778
126	4nx	0.038461538461538464	0.0
127	1n0	0.07692307692307693	0.0
128	our	0.038461538461538464	0.17778620166793024
129	4n2	0.11538461538461539	9.476876421531463e-05
130	ct0	0.038461538461538464	9.476876421531463e-05
131	reg	0.0	0.004264594389689159
132	0?_	0.038461538461538464	0.0
133	ell	0.0	0.28032600454890066
134	ng)	0.038461538461538464	0.0002843062926459439
135	rma	0.038461538461538464	0.022175890826383625
136	n_s	0.038461538461538464	0.01269901440485216
137	pas	0.0	0.011372251705837756
138	elo	0.0	0.008718726307808946
139	3bn	0.07692307692307693	0.0
140	dev	0.0	0.0021796815769522366
141	30-	0.0	0.0031273692191053828
142	ncy	0.0	0.0009476876421531463
143	yon	0.0	0.008339651250947688
144	m1_	0.15384615384615385	0.004833206974981046
145	imm	0.0	0.006633813495072024
146	4an	0.038461538461538464	0.0
147	ide	0.038461538461538464	0.013836239575435937
148	3n2	0.07692307692307693	0.00018953752843062926
149	y_t	0.0	0.00634950720242608
150	ssa	0.0	0.01146702047005307
151	mal	0.038461538461538464	0.05733510235026535
152	tis	0.0	0.08623957543593631
153	ult	0.0	0.024450341167551175
154	one	0.038461538461538464	0.022175890826383625
155	xm0	0.038461538461538464	0.0
156	ffu	0.038461538461538464	0.001042456406368461
157	pli	0.038461538461538464	0.022175890826383625
158	apl	0.038461538461538464	0.001042456406368461
