Importance	Ngram	Frequency in Race Columns	Frequency in Nonrace Columns
1	thn	0.40384615384615385	0.0
2	sia	0.5961538461538461	0.0021913109756097563
3	hni	0.40384615384615385	0.0006669207317073171
4	uca	0.4807692307692308	0.0002858231707317073
5	auc	0.4807692307692308	0.0
6	cau	0.4807692307692308	0.000857469512195122
7	asi	0.6153846153846154	0.004763719512195122
8	ian	0.5961538461538461	0.0052400914634146345
9	cit	0.40384615384615385	0.0033346036585365853
10	eth	0.40384615384615385	0.0038109756097560975
11	rac	0.4423076923076923	0.006573932926829268
12	ici	0.40384615384615385	0.0032393292682926828
13	ace	0.4423076923076923	0.009241615853658536
14	nic	0.4423076923076923	0.015720274390243903
15	hit	0.19230769230769232	0.001048018292682927
16	an_	0.7115384615384616	0.06021341463414634
17	cas	0.4807692307692308	0.005430640243902439
18	whi	0.19230769230769232	0.0011432926829268292
19	ity	0.40384615384615385	0.004192073170731708
20	ty_	0.40384615384615385	0.00819359756097561
21	afr	0.2692307692307692	0.0002858231707317073
22	fri	0.2692307692307692	0.0002858231707317073
23	ce_	0.4423076923076923	0.1754954268292683
24	pan	0.19230769230769232	0.010766006097560975
25	mer	0.25	0.00428734756097561
26	can	0.2692307692307692	0.03172637195121951
27	jap	0.057692307692307696	0.00019054878048780488
28	spa	0.1346153846153846	0.0011432926829268292
29	eu_	0.038461538461538464	0.0005716463414634146
30	ric	0.2692307692307692	0.009908536585365854
31	n_a	0.23076923076923078	0.009527439024390244
32	nes	0.07692307692307693	0.005716463414634146
33	his	0.1346153846153846	0.002572408536585366
34	ack	0.07692307692307693	0.002096036585365854
35	te_	0.21153846153846154	0.055354420731707314
36	lac	0.07692307692307693	0.004954268292682927
37	ceu	0.038461538461538464	0.00019054878048780488
38	ame	0.25	0.17530487804878048
39	bak	0.019230769230769232	0.0
40	ica	0.28846153846153844	0.0352515243902439
41	ite	0.19230769230769232	0.004573170731707317
42	ani	0.1346153846153846	0.0032393292682926828
43	aa_	0.038461538461538464	0.0021913109756097563
44	eri	0.25	0.054401676829268296
45	isp	0.1346153846153846	0.003715701219512195
46	bi-	0.019230769230769232	0.00038109756097560977
47	ane	0.057692307692307696	0.004954268292682927
48	ic_	0.1346153846153846	0.05735518292682927
49	opu	0.07692307692307693	0.0016196646341463414
50	n-h	0.057692307692307696	0.0006669207317073171
51	on_	0.15384615384615385	0.08241234756097561
52	atw	0.019230769230769232	0.0
53	ese	0.07692307692307693	0.007240853658536586
54	nt_	0.0	0.11509146341463415
55	hum	0.019230769230769232	0.052877286585365856
56	ea_	0.019230769230769232	0.0016196646341463414
57	se_	0.09615384615384616	0.03820503048780488
58	ell	0.0	0.2813452743902439
59	urc	0.0	0.16996951219512196
60	ck_	0.07692307692307693	0.011432926829268292
61	esi	0.019230769230769232	0.009051067073170731
62	sou	0.0	0.16958841463414634
63	ate	0.057692307692307696	0.0900342987804878
64	me_	0.0	0.1873094512195122
65	tio	0.09615384615384616	0.05544969512195122
66	i-r	0.019230769230769232	0.00038109756097560977
67	ati	0.1346153846153846	0.07174161585365854
68	e/c	0.019230769230769232	0.00019054878048780488
69	le_	0.019230769230769232	0.25152439024390244
70	rub	0.019230769230769232	0.0011432926829268292
71	sel	0.019230769230769232	0.0026676829268292685
72	twa	0.019230769230769232	9.527439024390244e-05
73	cel	0.0	0.2781059451219512
74	nbc	0.019230769230769232	0.0006669207317073171
75	rce	0.0	0.17025533536585366
76	ssu	0.019230769230769232	0.08231707317073171
